nid,x,y,demand,ready_time,due_time,service_time,pid,did,time,drone
0,66.66666666666667,66.66666666666667,20,0.0,3060.0,10,0,0,1.0,0
1,89.33333333333333,4.0,20.0,988.0,1031.0,10,0,364,396.42177792271406,0
2,42.0,38.666666666666664,20.0,55.0,589.0,10,0,11,0,0
3,42.666666666666664,34.666666666666664,20.0,350.0,1058.0,10,0,327,217.12675630900958,0
4,92.66666666666667,4.666666666666667,-10.0,228.0,756.0,10,345,0,-1,0
5,73.33333333333333,5.333333333333333,26.0,1670.0,2274.0,10,0,347,1572.2870772213482,0
6,52.666666666666664,128.66666666666666,30.0,501.0,1135.0,10,0,200,384.2945039248277,0
7,53.333333333333336,126.66666666666667,13.0,1661.0,2011.0,10,0,401,1491.9110286615703,1
8,105.33333333333333,54.0,-10.0,1811.0,2384.0,10,177,0,-1,0
9,40.0,102.0,11.0,179.0,718.0,10,0,62,18.220913532566872,1
10,94.0,5.333333333333333,-30.0,170.0,716.0,10,355,0,-1,0
11,8.666666666666666,54.0,-20.0,491.0,812.0,10,2,0,-1,0
12,45.333333333333336,76.66666666666667,-17.0,2299.0,2342.0,10,17,0,-1,0
13,100.66666666666667,88.0,-13.0,538.0,898.0,10,368,0,-1,0
14,58.666666666666664,95.33333333333333,-10.0,1876.0,2411.0,10,399,0,-1,0
15,10.666666666666666,56.0,20.0,346.0,1158.0,10,0,105,173.18990021427106,0
16,103.33333333333333,11.333333333333334,-22.0,146.0,745.0,10,150,0,-1,1
17,46.0,100.0,17.0,1933.0,2701.0,10,0,12,950.3711236356503,1
18,36.666666666666664,58.0,-24.0,606.0,1140.0,10,126,0,-1,0
19,14.666666666666666,88.66666666666667,-10.0,474.0,1020.0,10,342,0,-1,0
20,6.666666666666667,13.333333333333334,-17.0,2210.0,2620.0,10,124,0,-1,1
21,124.66666666666667,94.66666666666667,10.0,403.0,646.0,10,0,83,24.786985175709106,0
22,76.0,81.33333333333333,-23.0,676.0,1148.0,10,357,0,-1,0
23,52.0,79.33333333333333,30.0,130.0,562.0,10,0,232,19.84313102298338,0
24,132.66666666666666,76.66666666666667,-30.0,437.0,605.0,10,255,0,-1,1
25,123.33333333333333,82.66666666666667,10.0,212.0,763.0,10,0,249,58.861716312767186,0
26,30.666666666666668,14.666666666666666,-20.0,1496.0,1859.0,10,294,0,-1,0
27,4.666666666666667,101.33333333333333,-10.0,636.0,858.0,10,79,0,-1,0
28,96.0,61.333333333333336,-30.0,1971.0,2238.0,10,239,0,-1,0
29,3.3333333333333335,108.0,26.0,497.0,613.0,10,0,230,127.19688280071152,1
30,131.33333333333334,75.33333333333333,-10.0,205.0,940.0,10,73,0,-1,0
31,126.0,63.333333333333336,10.0,356.0,838.0,10,0,128,112.78075710734733,0
32,56.0,78.66666666666667,20.0,272.0,629.0,10,0,332,55.248687397287505,0
33,18.666666666666668,51.333333333333336,-10.0,674.0,1208.0,10,339,0,-1,0
34,70.0,17.333333333333332,-17.0,1069.0,1634.0,10,117,0,-1,1
35,75.33333333333333,66.66666666666667,-10.0,701.0,1260.0,10,52,0,-1,0
36,92.66666666666667,64.66666666666667,-10.0,2411.0,2710.0,10,271,0,-1,1
37,95.33333333333333,119.33333333333333,-30.0,916.0,1374.0,10,260,0,-1,0
38,74.0,126.0,-13.0,1815.0,2327.0,10,338,0,-1,0
39,79.33333333333333,24.666666666666668,20.0,668.0,793.0,10,0,167,424.7557389648479,0
40,58.0,127.33333333333333,10.0,255.0,582.0,10,0,241,96.6454645275312,0
41,53.333333333333336,111.33333333333333,-10.0,684.0,1211.0,10,361,0,-1,0
42,15.333333333333334,91.33333333333333,-20.0,433.0,947.0,10,198,0,-1,0
43,120.66666666666667,46.666666666666664,-16.0,1810.0,2509.0,10,227,0,-1,0
44,118.66666666666667,82.0,30.0,81.0,666.0,10,0,112,5.518445583370248,0
45,30.0,94.66666666666667,-31.0,1525.0,2338.0,10,61,0,-1,1
46,100.66666666666667,44.0,11.0,61.0,689.0,10,0,181,0.4615391795870235,0
47,45.333333333333336,33.333333333333336,-10.0,321.0,888.0,10,129,0,-1,0
48,106.0,130.66666666666666,-20.0,816.0,1208.0,10,326,0,-1,0
49,58.0,20.0,10.0,536.0,1089.0,10,0,208,443.19326871329145,0
50,124.66666666666667,61.333333333333336,20.0,163.0,827.0,10,0,297,34.35475063785854,0
51,6.666666666666667,102.0,-30.0,385.0,701.0,10,333,0,-1,1
52,36.0,20.0,10.0,311.0,1008.0,10,0,35,105.91078838293998,0
53,36.0,24.666666666666668,-24.0,2477.0,2811.0,10,310,0,-1,1
54,120.0,98.0,-10.0,390.0,891.0,10,74,0,-1,0
55,102.66666666666667,39.333333333333336,17.0,68.0,597.0,10,0,375,2.377986012777769,0
56,62.0,8.666666666666666,-29.0,586.0,695.0,10,118,0,-1,0
57,25.333333333333332,126.66666666666667,10.0,296.0,917.0,10,0,397,17.272006373705285,1
58,69.33333333333333,58.666666666666664,-10.0,2449.0,3038.0,10,233,0,-1,1
59,52.0,112.66666666666667,-20.0,801.0,1625.0,10,169,0,-1,0
60,84.66666666666667,95.33333333333333,-1.0,1832.0,2618.0,10,102,0,-1,0
61,16.0,87.33333333333333,31.0,1118.0,1470.0,10,0,45,321.625655534942,0
62,54.666666666666664,129.33333333333334,-11.0,327.0,1204.0,10,9,0,-1,0
63,110.0,78.0,-40.0,436.0,624.0,10,282,0,-1,0
64,15.333333333333334,117.33333333333333,-20.0,1266.0,1681.0,10,356,0,-1,0
65,36.666666666666664,16.0,-20.0,472.0,632.0,10,266,0,-1,1
66,98.66666666666667,104.66666666666667,-20.0,993.0,1669.0,10,248,0,-1,0
